Product Code,Cat 1,Cat 2,Cat 3,Item,Sub Category,Range/Brand,Length cm (approx),Height cm (approx),Width cm (approx),Depth cm (approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,Product Description,User Tags,image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Image name 4 (same as sku),Cost Price (ex VAT,Mark up %,Selling Price (ex VAT),Returns & Delivery
,Kitchen,,,Undercounter Larder Fridge,Fridges & Freezers,Hotpoint RLAAV22P,,85,55,58,,Metal,White,Hotpoint RLAAV22P Undercounter Larder Fridge,Hotpoint white undercounter larder fridge. A +  Energy Rating. Comes with one year warranty.,"fridge,Hotpoint",RLAAV22P,,,,£104.99,fixed price,£131.25,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Kitchen,,,Washer Dryer,Washing Machines & Dryers,Hotpoint WDAL8640P,,85,59.5,60.5,,Metal,White,Hotpoint WDAL8640P Washer Dryer,"Hotpoint white aquarius washer dryer featuring 1400 Spin speed, 6kg  Wash & Dry Load capacity, rapid wash funcion and super silent mode. A Energy for both wash and dry. Comes with one year warranty.","washer dryer,washing machine,Hotpoint",FO78544 WDAL8640P,,,,£249.99,fixed price,£312.50,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Kitchen,,,Dishwasher,Dishwashers,Hotpoint FDUD51110P,,85,60,60,,Metal,White,Hotpoint FDUD51110P Dishwasher,Hotpoint white Ultima 15 place extra silent dishwasher featuring rapid programme mode. A + AA Rating. Comes with one year warranty.,"dishwasher,Hotpoint",FO82687 FDUD5111OP close,,,,£266.66,fixed price,£466.65,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Kitchen,,,Dishwasher,Dishwashers,Hotpoint FDEB31010G,,85,60,60,,Metal,Graphite,Hotpoint FDEB31010G Dishwasher,Hotpoint graphite Experience 14 place setting dishwasher featuring rapid programme function. A + AA energy rated. Comes with one year warranty. ,"dishwasher,Hotpoint",FO82745 FDEB3101G 1,,,,£186.66,fixed price,£233.35,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Kitchen,,,Condenser Tumble Drier,Washing Machines & Dryers,Hotpoint TCFS83BGG,,85,59,62,,Metal,Graphite,Hotpoint TCFS83BGG Condenser Tumble Dryer,"Hotpoint graphite tumble dryer featuring sensor condenser, anti-tangle technology, high and low heat settings and timer. Comes with one year warranty. ","tumble dryer,washer dryer,Hotpoint",FO85964 TCF83BGG (UK) 1,,,,£212.49,fixed price,£265.65,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Kitchen,,,Vented Tumble Drier,Washing Machines & Dryers,Hotpoint TVFS73BGP,,85,58.5,59,,Metal,White,Hotpoint TVFS73BGP Vented Tumble Dryer,"Hotpoint white sensor vented tumble dryer featuring anti-tangle technology, high and low heat setting and timer. Comes with one year warranty. ","tumble dryer,washer dryer,Hotpoint",FO85974 TVFS73BGP (UK) 1,,,,£162.49,fixed price,£203.15,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Kitchen,,,Washing Machine,Washing Machines & Dryers,Hotpoint WMBF944G,,85,59.5,60.5,,Metal,Graphite,Hotpoint WMBF944G Washing Machine,"Hotpoint graphite Aquarius washing machine featuring 1400 spin speed, 9kg load capacity, super silent motor and fast wash function. Comes with one year warranty. ","washer dryer,washing machine,Hotpoint",FO89787 WMBF944G,,,,£193.33,fixed price,£241.75,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Kitchen,,,Condenser Tumble Drier,Washing Machines & Dryers,Hotpoint TCHL780BP,,85,59.5,61,,Metal,White,Hotpoint TCHL780BP Condenser Tumble Dryer,"Hotpoint white condenser tumble dryer featuring 8kg load capacity, B energy rating and 4 Level Sensor Drying System. Comes with one year warranty. ","washer dryer,tumble dryer,Hotpoint",FO90086 TCHL 780BP,,,,£206.24,fixed price,£257.80,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Kitchen,,,Washing Machine,Washing Machines & Dryers,Hotpoint FML942P,,85,59.5,60.5,,Metal,White,Hotpoint FML942P 9kg Washing Machine,"Hotpoint white washing machine featuring 9kg load capacity, 1400 spin speed, A++  energy efficiency rating and 15 minute quick wash function. Comes with one year warranty. ","washer dryer,washing machine,Hotpoint",F102474 FML942P UK,,,,£247.49,fixed price,£309.35,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Floor Lamp,Lighting,Tripod,,145,65,55,,Wood,Natural,Tripod 1872 Floor Lamp,This charming tripod table lamp complete with chrome metal detailing and finished with a simple tapered grey shade.   ,"floor lamp,floor light,lamp",250 1872,,,,£55.00,75%,£96.25,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Table Lamp,Lighting,Tripod,,66,30,30,,Wood,Natural,Tripod 1874 Table Lamp,This charming tripod table lamp complete with chrome metal detailing and finished with a simple tapered grey shade and adjustable height.  ,"table lamp,floor light,desk lamp",250 1874,,,,£30.00,75%,£52.50,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Table Lamp,Lighting,Tripod,,60,25,25,,Wood,Natural,Tripod 1875 Table Lamp,Scandi style oak wood tripod table lamp base paired with a white drum shade. ,"table lamp,floor light,desk lamp",250 1875,,,,£23.00,75%,£40.25,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Floor Lamp,Lighting,Jasper,,150,50,60,,Wood,Natural,Jasper 1920 Floor Lamp,Scandi style grey wood tripod floor lamp base paired with a grey drum shade. ,"floor lamp,floor light,lamp",250 1920,,,,£70.00,75%,£122.50,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Floor Lamp,Lighting,Strata,,187,145,33,,Metal,Copper effect,Strata 1936 Arched Floor Lamp,Gently arched copper effect floor lamp with marble base inspired by the iconic Flos Arco lamp. ,"floor lamp,floor light,lamp",250 1936,,,,£85.00,75%,£148.75,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Table Lamp,Lighting,Winslet,,33,22,22,,Ceramic,Grey,Winslet 2005 Table Lamp,Table lamp with a white ceramic base tapering up towards the fabric shade and featuring a geometric design.,"table lamp,desk lamp",250 2005,,,,£10.15,75%,£17.76,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Table Lamp,Lighting,Winslet,,33,22,22,,Ceramic,White,Winslet 2004 Table Lamp,Table lamp with a grey ceramic base tapering up towards the fabric shade and featuring a geometric design.,"table lamp,desk lamp",250 2004,,,,£10.15,75%,£17.76,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Table Lamp,Lighting,Wylie,,35,23,23,,Ceramic,white,Wylie 2020 Table Lamp,Retro inspired geometric patterned ceramic base table lamp complimented by a grey fabric shade.,"table lamp,desk lamp",250 2020,,,,£12.25,75%,£21.44,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,floor lamp,Lighting,Ventura,,148,,,,Metal,Antique/brown metal,Ventura Tripod Floor Lamp,Add a statement to your living space with this antique bronze tripod floor lamp complete with black shade with gold inner.,"floor lamp,floor light,lamp",Ventura Floor Lamp,,,,£125.00,75%,£218.75,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Duke ,,,,,35mm poles  1.75m,Wood ,Various,Duke Curtain Pole 1.75mt,Wood curtain pole 35mm diameter and 1.75m length. Available in various colours.,"curtain pole,wood",Duke Natural,Duke Cream,Duke Cream Gold,,£42.22,75%,£73.89,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Duke ,,,,,35mm poles 2.40m,Wood,Various,Duke Curtain Pole 2.40mt,Wood curtain pole 35mm diameter and 2.4m length. Available in various colours.,"curtain pole,wood",Duke Natural,Duke Cream,Duke Cream Gold,,£54.93,75%,£96.13,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Duke ,,,,,35mm poles 3.00m,Wood,Various,Duke Curtain Pole 3.00mt,Wood curtain pole 35mm diameter and 3m length. Available in various colours.,"curtain pole,wood",Duke Natural,Duke Cream,Duke Cream Gold,,£62.27,75%,£108.97,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Duke ,,,,,35mm poles 3.50m,Wood,Various,Duke Curtain Pole 3.50mt,Wood curtain pole 35mm diameter and 3.5m length. Available in various colours.,"curtain pole,wood",Duke Natural,Duke Cream,Duke Cream Gold,,£69.42,75%,£121.49,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Dimensions,,,,,28mm  Poles 1.20m,Metal,Steel Finish,Dimensions Curtain Pole 1.20mt,Steel curtain pole 28mm diameter and 1.2m length. ,"curtain pole,steel",Dimensions,,,,£29.70,75%,£51.98,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Dimensions,,,,,28mm  Poles 1.60m,Metal,Steel Finish,Dimensions Curtain Pole 1.60mt,Steel curtain pole 28mm diameter and 1.6m length. ,"curtain pole,steel",Dimensions,,,,£32.17,75%,£56.30,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Dimensions,,,,,28mm Poles 2.00m,Metal,Steel Finish,Dimensions Curtain Pole 2.00mt,Steel curtain pole 28mm diameter and 2m length. ,"curtain pole,steel",Dimensions,,,,£35.62,75%,£62.34,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Dimensions,,,,,28mm Poles 2.40m,Metal,Steel Finish,Dimensions Curtain Pole 2.40mt,Steel curtain pole 28mm diameter and 2.4m length. ,"curtain pole,steel",Dimensions,,,,£40.94,75%,£71.65,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Dimensions,,,,,28mm Poles 3.20m,Metal,Steel Finish,Dimensions Curtain Pole 3.20mt,Steel curtain pole 28mm diameter and 3.2m length. ,"curtain pole,steel",Dimensions,,,,£45.57,75%,£79.75,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Dimensions,,,,,28mm Poles 4.00m ,Metal,Steel Finish,Dimensions Curtain Pole 4.00mt,Steel curtain pole 35mm diameter and 4m length. ,"curtain pole,steel",Dimensions,,,,£55.09,75%,£96.41,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Spectrum,,,,,35mm  Pole 1.20m,Metal,Steel Finish,Spectrum Curtain Pole 1.20mt,Steel curtain pole 35mm diameter and 1.2m length. ,"curtain pole,steel",Spectrum,,,,£68.98,75%,£120.72,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Spectrum,,,,,35mm Pole 2.40m,Metal,Steel Finish,Spectrum Curtain Pole 2.40mt,Steel curtain pole 35mm diameter and 2.4m length. ,"curtain pole,steel",Spectrum,,,,£98.40,75%,£172.20,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Spectrum,,,,,35mm Pole 3.60m,Metal,Steel Finish,Spectrum Curtain Pole 3.60mt,Steel curtain pole 35mm diameter and 3.6m length. ,"curtain pole,steel",Spectrum,,,,£131.68,75%,£230.44,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtain Pole,Curtains & Poles,Spectrum,,,,,35mm Pole 4.80m,Metal,Steel Finish,Spectrum Curtain Pole 4.80mt,Steel curtain pole 35mm diameter and 4.8m length. ,"curtain pole,steel",Spectrum,,,,£156.76,75%,£274.33,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtains ,Curtains & Poles,Savannah,,,,,"52"" x 72""",Cotton,Teal/Natural/Grey,"Savannah Eyelet Curtain 52"" x 72""","Readymade, lined eyelet curtains in Polycotton. 52""x72"". Image shows Teal colour, other colours are as per cushions on the chair.","curtains,readymade curtains,eyelet",Savanna,,,,£58.94,75%,£103.15,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Home Accessories,,,Curtains ,Curtains & Poles,Savannah,,,,,"52"" x 90""",Cotton,Teal/Natural/Grey,"Savannah Eyelet Curtain 52"" x 90""","Readymade, lined eyelet curtains in Polycotton. 52""x90"". Image shows Teal colour, other colours are as per cushions on the chair.","curtains,readymade curtains,eyelet",Savanna,,,,£70.25,75%,£122.94,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
